raw_entry,entry_type,extracted_host,is_brand_target
aetnagsc.com/,plain_url_pattern,aetnagsc.com,True
aetnagspc.nccary.com/,plain_url_pattern,aetnagspc.nccary.com,True
aetnamarketingcommunications.com/,plain_url_pattern,aetnamarketingcommunications.com,True
coverage-sync-ui.dev.cvs.sparkzone.com/,plain_url_pattern,coverage-sync-ui.dev.cvs.sparkzone.com,True
cvscart.complichain.co/,plain_url_pattern,cvscart.complichain.co,True
cvscovidstudy.com/,plain_url_pattern,cvscovidstudy.com,True
cvshealth.nmrgcs.com/,plain_url_pattern,cvshealth.nmrgcs.com,True
cvsimages.com/,plain_url_pattern,cvsimages.com,True
cvsstores.com/,plain_url_pattern,cvsstores.com,True
mfa.cvs.arculix.dev/,plain_url_pattern,mfa.cvs.arculix.dev,True
mfa.cvs.arculix.tech/,plain_url_pattern,mfa.cvs.arculix.tech,True
oidc.cvs.arculix.dev/,plain_url_pattern,oidc.cvs.arculix.dev,True
4scrip.com/,plain_url_pattern,4scrip.com,False
a.config.skype.com/,plain_url_pattern,a.config.skype.com,False
accesscvty.com/,plain_url_pattern,accesscvty.com,False
admin.mentor1to1.org/,plain_url_pattern,admin.mentor1to1.org,False
admin.podbean.com/,plain_url_pattern,admin.podbean.com,False
adminamerica.sharefile.com/,plain_url_pattern,adminamerica.sharefile.com,False
ads.snapchat.com/,plain_url_pattern,ads.snapchat.com,False
agora.io/,plain_url_pattern,agora.io,False
allatlanticbenefits.secureemailport.com/,plain_url_pattern,allatlanticbenefits.secureemailport.com,False
amp.gmail.dev/,plain_url_pattern,amp.gmail.dev,False
amtrakwifi.com/,plain_url_pattern,amtrakwifi.com,False
anouncekit.co/,plain_url_pattern,anouncekit.co,False
api-ext.apigee.pcf-maximus.com/,plain_url_pattern,api-ext.apigee.pcf-maximus.com,False
api-uat-ext-non-prod.apigee.pcf-maximus.com/,plain_url_pattern,api-uat-ext-non-prod.apigee.pcf-maximus.com,False
api.geekdo.com/,plain_url_pattern,api.geekdo.com,False
api.teams.skype.com/,plain_url_pattern,api.teams.skype.com,False
api.userstore.skype.com/,plain_url_pattern,api.userstore.skype.com,False
apih2.pdchs.com/,plain_url_pattern,apih2.pdchs.com,False
apih5.pdchs.com/,plain_url_pattern,apih5.pdchs.com,False
asm.skype.com/,plain_url_pattern,asm.skype.com,False
atdmt.com/,plain_url_pattern,atdmt.com,False
audible.com/,plain_url_pattern,audible.com,False
b-cc-usea2-01.cc.skype.com/,plain_url_pattern,b-cc-usea2-01.cc.skype.com,False
b.config.skype.com/,plain_url_pattern,b.config.skype.com,False
babybabyandmetobaccofree.org/,plain_url_pattern,babybabyandmetobaccofree.org,False
band.com/,plain_url_pattern,band.com,False
benefitsmoments.com/,plain_url_pattern,benefitsmoments.com,False
bluestacks.com/,plain_url_pattern,bluestacks.com,False
boxlocalhost.com/,plain_url_pattern,boxlocalhost.com,False
broadcast.skype.com/,plain_url_pattern,broadcast.skype.com,False
bswift.net/,plain_url_pattern,bswift.net,False
catboost.ai/,plain_url_pattern,catboost.ai,False
cc.skype.com/,plain_url_pattern,cc.skype.com,False
chat.introvoke.net/,plain_url_pattern,chat.introvoke.net,False
cloudconvert.com/,plain_url_pattern,cloudconvert.com,False
codenames.game/,plain_url_pattern,codenames.game,False
cogniview.auth0.co/,plain_url_pattern,cogniview.auth0.co,False
compressjpeg.com/,plain_url_pattern,compressjpeg.com,False
config.edge.skype.com/,plain_url_pattern,config.edge.skype.com,False
config.skype.com/,plain_url_pattern,config.skype.com,False
controlplane.tailscale.com/,plain_url_pattern,controlplane.tailscale.com,False
conv.skype.com/,plain_url_pattern,conv.skype.com,False
convergence-point.com/,plain_url_pattern,convergence-point.com,False
crowdparty.app/,plain_url_pattern,crowdparty.app,False
cwihealth.org/,plain_url_pattern,cwihealth.org,False
div125.sharefile.com/,plain_url_pattern,div125.sharefile.com,False
docs.live.net/,plain_url_pattern,docs.live.net,False
drawasaurus.org/,plain_url_pattern,drawasaurus.org,False
drawize.com/,plain_url_pattern,drawize.com,False
dropbox.com/request/wiXUb6lFggE3fBiz4DNe/,plain_url_pattern,dropbox.com,False
