raw_entry,entry_type,extracted_host,is_brand_target
aetnadental99dollars.com/,plain_url_pattern,aetnadental99dollars.com,True
aetnahealthinsurance.xyz/,plain_url_pattern,aetnahealthinsurance.xyz,True
*.aetnahr.com/,wildcard_subdomain,aetnahr.com,True
*.aetnarapedmycompany.blogspot.com/,wildcard_subdomain,aetnarapedmycompany.blogspot.com,True
103.64.13.8/,ip_or_cidr,103.64.13.8,False
104.153.108.155/,ip_or_cidr,104.153.108.155,False
115.182.49.13/,ip_or_cidr,115.182.49.13,False
115.182.49.14/,ip_or_cidr,115.182.49.14,False
115.182.49.17/,ip_or_cidr,115.182.49.17,False
115.182.49.19/,ip_or_cidr,115.182.49.19,False
115.182.49.20/,ip_or_cidr,115.182.49.20,False
115.182.49.21/,ip_or_cidr,115.182.49.21,False
115.182.49.22/,ip_or_cidr,115.182.49.22,False
115.182.49.27/,ip_or_cidr,115.182.49.27,False
115.182.49.8/,ip_or_cidr,115.182.49.8,False
12.10.217.74/,ip_or_cidr,12.10.217.74,False
12.47.204.175/,ip_or_cidr,12.47.204.175,False
12.47.204.76/,ip_or_cidr,12.47.204.76,False
123.254.111.186/,ip_or_cidr,123.254.111.186,False
128.199.46.7/,ip_or_cidr,128.199.46.7,False
129.121.76.191/,ip_or_cidr,129.121.76.191,False
129.121.84.2/,ip_or_cidr,129.121.84.2,False
132.148.90.254/,ip_or_cidr,132.148.90.254,False
141.136.17.97/,ip_or_cidr,141.136.17.97,False
141.8.224.169/,ip_or_cidr,141.8.224.169,False
146.186.56.220/,ip_or_cidr,146.186.56.220,False
154.16.63.53/,ip_or_cidr,154.16.63.53,False
162.115.224.200/,ip_or_cidr,162.115.224.200,False
172.247.116.3/,ip_or_cidr,172.247.116.3,False
173.224.208.60/,ip_or_cidr,173.224.208.60,False
176.9.117.170/,ip_or_cidr,176.9.117.170,False
178.175.138.201/,ip_or_cidr,178.175.138.201,False
18.208.183.246,ip_or_cidr,18.208.183.246,False
180.235.132.168/,ip_or_cidr,180.235.132.168,False
183.136.202.244,ip_or_cidr,183.136.202.244,False
184.82.177.125/,ip_or_cidr,184.82.177.125,False
185.180.231.198/,ip_or_cidr,185.180.231.198,False
185.180.231.35/,ip_or_cidr,185.180.231.35,False
188.226.129.160/,ip_or_cidr,188.226.129.160,False
192.5.5.241/,ip_or_cidr,192.5.5.241,False
194.146.207.29/,ip_or_cidr,194.146.207.29,False
195.250.139.10/,ip_or_cidr,195.250.139.10,False
198.50.159.181/,ip_or_cidr,198.50.159.181,False
198.50.192.147/,ip_or_cidr,198.50.192.147,False
202.157.170.115/,ip_or_cidr,202.157.170.115,False
203.172.178.171/,ip_or_cidr,203.172.178.171,False
206.123.102.103/,ip_or_cidr,206.123.102.103,False
209.222.144.36/,ip_or_cidr,209.222.144.36,False
209.249.20.135/,ip_or_cidr,209.249.20.135,False
209.59.221.241/,ip_or_cidr,209.59.221.241,False
213.183.58.6/,ip_or_cidr,213.183.58.6,False
213.246.101.215/,ip_or_cidr,213.246.101.215,False
216.130.188.219/,ip_or_cidr,216.130.188.219,False
216.157.17.48/,ip_or_cidr,216.157.17.48,False
216.21.222.7/,ip_or_cidr,216.21.222.7,False
217.64.195.204/,ip_or_cidr,217.64.195.204,False
219.232.241.130/,ip_or_cidr,219.232.241.130,False
219.232.241.136/,ip_or_cidr,219.232.241.136,False
219.232.241.142/,ip_or_cidr,219.232.241.142,False
219.232.241.174/,ip_or_cidr,219.232.241.174,False
219.232.241.186/,ip_or_cidr,219.232.241.186,False
219.232.243.24/,ip_or_cidr,219.232.243.24,False
